Frequency (Hz)	Level (dB)
10.766602	-38.914322
21.533203	-34.995461
32.299805	-31.661551
43.066406	-31.140865
53.833008	-34.102600
64.599609	-35.302498
75.366211	-35.594330
86.132812	-35.558979
96.899414	-35.163849
107.666016	-34.137398
118.432617	-33.574940
129.199219	-33.168560
139.965820	-32.574078
150.732422	-32.452614
161.499023	-31.917707
172.265625	-31.505165
183.032227	-31.554562
193.798828	-31.626780
204.565430	-31.415302
215.332031	-31.045975
226.098633	-30.454193
236.865234	-30.326044
247.631836	-30.328377
258.398438	-29.772581
269.165039	-29.877508
279.931641	-30.607985
290.698242	-30.721514
301.464844	-30.768084
312.231445	-31.297794
322.998047	-31.422659
333.764648	-31.500832
344.531250	-31.559345
355.297852	-31.691097
366.064453	-31.883904
376.831055	-32.246109
387.597656	-32.274319
398.364258	-32.347401
409.130859	-32.617691
419.897461	-32.703762
430.664062	-32.800316
441.430664	-33.358711
452.197266	-33.484093
462.963867	-33.392796
473.730469	-33.580421
484.497070	-34.113720
495.263672	-34.211819
506.030273	-33.909782
516.796875	-33.449787
527.563477	-32.764599
538.330078	-33.039516
549.096680	-33.725155
559.863281	-34.368717
570.629883	-34.823956
581.396484	-35.329330
592.163086	-35.179779
602.929688	-35.408623
613.696289	-35.556717
624.462891	-35.882946
635.229492	-36.296356
645.996094	-36.371868
656.762695	-36.497177
667.529297	-36.449085
678.295898	-36.715775
689.062500	-36.950565
699.829102	-37.297371
710.595703	-37.574188
721.362305	-37.499767
732.128906	-37.374409
742.895508	-37.591801
753.662109	-37.814430
764.428711	-37.487991
775.195312	-37.205582
785.961914	-36.602421
796.728516	-36.352959
807.495117	-36.570412
818.261719	-37.597198
829.028320	-38.436844
839.794922	-38.990677
850.561523	-39.345047
861.328125	-39.697884
872.094727	-40.076809
882.861328	-40.684074
893.627930	-41.120647
904.394531	-40.917778
915.161133	-40.478371
925.927734	-40.963177
936.694336	-41.339073
947.460938	-41.524166
958.227539	-41.906639
968.994141	-42.685131
979.760742	-42.254616
990.527344	-42.332981
1001.293945	-42.534821
1012.060547	-42.359447
1022.827148	-42.197277
1033.593750	-41.434082
1044.360352	-40.013233
1055.126953	-38.343884
1065.893555	-37.930115
1076.660156	-38.977169
1087.426758	-40.552902
1098.193359	-42.058327
1108.959961	-42.900314
1119.726562	-43.750065
1130.493164	-44.291126
1141.259766	-44.822372
1152.026367	-45.226955
1162.792969	-45.477127
1173.559570	-46.054363
1184.326172	-46.253048
1195.092773	-46.327347
1205.859375	-46.944466
1216.625977	-47.025478
1227.392578	-47.022373
1238.159180	-46.851543
1248.925781	-46.563618
1259.692383	-46.470482
1270.458984	-46.305328
1281.225586	-45.649994
1291.992188	-44.351395
1302.758789	-42.641457
1313.525391	-40.455479
1324.291992	-38.620308
1335.058594	-39.101677
1345.825195	-41.210686
1356.591797	-43.511269
1367.358398	-45.275612
1378.125000	-46.302380
1388.891602	-47.399212
1399.658203	-48.199177
1410.424805	-48.505760
1421.191406	-48.724403
1431.958008	-48.827660
1442.724609	-49.628040
1453.491211	-49.749237
1464.257812	-49.485168
1475.024414	-49.864632
1485.791016	-49.701420
1496.557617	-49.581142
1507.324219	-49.339428
1518.090820	-48.365917
1528.857422	-47.498646
1539.624023	-46.781059
1550.390625	-45.606461
1561.157227	-43.996601
1571.923828	-41.783710
1582.690430	-39.102463
1593.457031	-37.441475
1604.223633	-37.835129
1614.990234	-40.264160
1625.756836	-42.979229
1636.523438	-45.205708
1647.290039	-46.443958
1658.056641	-47.413490
1668.823242	-47.888130
1679.589844	-48.899925
1690.356445	-49.417038
1701.123047	-49.919327
1711.889648	-50.289993
1722.656250	-50.168064
1733.422852	-50.047787
1744.189453	-50.114025
1754.956055	-49.559071
1765.722656	-49.209156
1776.489258	-48.646713
1787.255859	-47.603359
1798.022461	-46.295349
1808.789062	-45.028862
1819.555664	-43.435699
1830.322266	-41.450577
1841.088867	-39.558105
1851.855469	-37.052635
1862.622070	-35.943127
1873.388672	-37.043365
1884.155273	-39.476131
1894.921875	-41.744827
1905.688477	-43.232338
1916.455078	-45.331287
1927.221680	-46.421734
1937.988281	-46.956276
1948.754883	-47.293976
1959.521484	-47.778324
1970.288086	-47.963806
1981.054688	-47.662437
1991.821289	-47.841503
2002.587891	-47.977943
2013.354492	-48.047085
2024.121094	-47.501740
2034.887695	-46.657925
2045.654297	-46.136787
2056.420898	-45.666031
2067.187500	-44.428867
2077.954102	-43.146397
2088.720703	-41.447414
2099.487305	-38.995407
2110.253906	-36.167236
2121.020508	-34.211094
2131.787109	-34.097820
2142.553711	-35.515842
2153.320312	-37.945351
2164.086914	-40.103020
2174.853516	-41.679672
2185.620117	-43.010906
2196.386719	-43.898899
2207.153320	-45.031464
2217.919922	-45.515697
2228.686523	-46.023491
2239.453125	-46.001118
2250.219727	-46.029152
2260.986328	-46.102642
2271.752930	-46.216530
2282.519531	-46.057079
2293.286133	-45.618488
2304.052734	-44.868324
2314.819336	-43.897182
2325.585938	-42.696075
2336.352539	-41.619850
2347.119141	-40.175354
2357.885742	-38.100212
2368.652344	-35.866722
2379.418945	-33.517540
2390.185547	-31.652695
2400.952148	-32.058502
2411.718750	-34.354050
2422.485352	-36.613598
2433.251953	-38.534294
2444.018555	-39.929539
2454.785156	-40.966583
2465.551758	-41.880463
2476.318359	-42.739933
2487.084961	-43.348866
2497.851562	-43.890388
2508.618164	-43.785351
2519.384766	-44.208576
2530.151367	-44.050831
2540.917969	-43.954426
2551.684570	-43.463879
2562.451172	-42.904682
2573.217773	-42.453243
2583.984375	-42.002296
2594.750977	-40.821896
2605.517578	-38.907242
2616.284180	-37.105984
2627.050781	-35.542393
2637.817383	-33.265781
2648.583984	-30.816999
2659.350586	-30.279974
2670.117188	-31.347452
2680.883789	-33.057381
2691.650391	-35.102261
2702.416992	-36.783844
2713.183594	-38.168961
2723.950195	-39.632843
2734.716797	-40.477020
2745.483398	-40.639507
2756.250000	-41.028557
2767.016602	-41.397655
2777.783203	-41.562649
2788.549805	-41.541672
2799.316406	-41.355621
2810.083008	-40.965015
2820.849609	-40.944191
2831.616211	-40.435757
2842.382812	-39.638611
2853.149414	-38.368717
2863.916016	-37.187923
2874.682617	-35.869747
2885.449219	-34.013447
2896.215820	-31.970476
2906.982422	-30.081816
2917.749023	-28.466442
2928.515625	-28.155062
2939.282227	-29.244802
2950.048828	-31.501511
2960.815430	-33.323967
2971.582031	-34.953163
2982.348633	-36.137505
2993.115234	-37.248985
3003.881836	-37.991055
3014.648438	-38.385117
3025.415039	-38.754139
3036.181641	-39.017979
3046.948242	-38.802895
3057.714844	-38.830791
3068.481445	-39.180672
3079.248047	-38.796631
3090.014648	-38.466045
3100.781250	-37.669319
3111.547852	-36.738937
3122.314453	-35.485447
3133.081055	-34.333488
3143.847656	-32.931141
3154.614258	-31.531179
3165.380859	-29.323883
3176.147461	-27.887035
3186.914062	-27.010689
3197.680664	-27.218792
3208.447266	-28.197880
3219.213867	-30.279493
3229.980469	-31.744144
3240.747070	-33.030987
3251.513672	-34.266083
3262.280273	-35.150337
3273.046875	-35.486809
3283.813477	-36.060024
3294.580078	-36.665939
3305.346680	-37.016136
3316.113281	-36.619099
3326.879883	-36.567978
3337.646484	-36.457775
3348.413086	-36.173412
3359.179688	-35.591473
3369.946289	-34.796829
3380.712891	-34.155182
3391.479492	-33.057777
3402.246094	-32.061256
3413.012695	-30.810520
3423.779297	-29.430620
3434.545898	-27.504105
3445.312500	-26.309725
3456.079102	-25.912710
3466.845703	-26.269766
3477.612305	-27.189583
3488.378906	-29.064316
3499.145508	-30.975117
3509.912109	-32.157253
3520.678711	-33.123219
3531.445312	-34.082325
3542.211914	-34.816605
3552.978516	-34.684505
3563.745117	-34.935722
3574.511719	-35.268734
3585.278320	-35.333359
3596.044922	-35.295273
3606.811523	-35.133316
3617.578125	-35.030289
3628.344727	-34.443947
3639.111328	-33.730682
3649.877930	-32.702412
3660.644531	-32.002735
3671.411133	-30.982162
3682.177734	-30.011345
3692.944336	-28.725191
3703.710938	-27.087805
3714.477539	-26.046284
3725.244141	-25.587376
3736.010742	-25.988529
3746.777344	-27.494545
3757.543945	-29.235136
3768.310547	-30.268503
3779.077148	-31.681410
3789.843750	-32.521217
3800.610352	-33.234112
3811.376953	-33.985661
3822.143555	-34.537251
3832.910156	-35.232903
3843.676758	-35.547733
3854.443359	-35.508942
3865.209961	-35.300880
3875.976562	-35.361069
3886.743164	-35.190357
3897.509766	-34.445152
3908.276367	-34.228809
3919.042969	-33.010273
3929.809570	-32.240761
3940.576172	-31.219027
3951.342773	-29.747866
3962.109375	-27.935993
3972.875977	-27.027834
3983.642578	-25.796398
3994.409180	-25.806103
4005.175781	-27.036715
4015.942383	-28.110872
4026.708984	-29.454063
4037.475586	-31.240475
4048.242188	-32.718826
4059.008789	-33.571701
4069.775391	-34.473862
4080.541992	-34.711853
4091.308594	-35.014317
4102.075195	-35.467644
4112.841797	-36.087521
4123.608398	-36.278458
4134.375000	-36.409290
4145.141602	-35.971214
4155.908203	-35.506569
4166.674805	-34.773651
4177.441406	-34.190464
4188.208008	-33.618382
4198.974609	-32.904533
4209.741211	-31.936140
4220.507812	-30.380814
4231.274414	-29.117409
4242.041016	-27.806786
4252.807617	-26.861561
4263.574219	-27.005278
4274.340820	-28.410734
4285.107422	-30.217468
4295.874023	-31.718510
4306.640625	-32.900917
4317.407227	-33.846855
4328.173828	-35.101658
4338.940430	-36.082951
4349.707031	-36.942657
4360.473633	-37.526608
4371.240234	-37.722889
