Frequency (Hz)	Level (dB)
10.766602	-60.049351
21.533203	-52.753239
32.299805	-49.055683
43.066406	-47.011856
53.833008	-45.208946
64.599609	-43.477291
75.366211	-42.106804
86.132812	-41.133724
96.899414	-40.021095
107.666016	-39.048260
118.432617	-38.478245
129.199219	-37.967453
139.965820	-37.855640
150.732422	-37.259384
161.499023	-37.283737
172.265625	-37.476215
183.032227	-37.697330
193.798828	-37.539845
204.565430	-37.373272
215.332031	-36.880516
226.098633	-36.517891
236.865234	-37.392719
247.631836	-38.453148
258.398438	-38.967594
269.165039	-39.365963
279.931641	-39.930565
290.698242	-40.115147
301.464844	-40.627930
312.231445	-40.940643
322.998047	-40.828808
333.764648	-40.841366
344.531250	-41.684372
355.297852	-41.841862
366.064453	-42.419502
376.831055	-42.779026
387.597656	-42.567768
398.364258	-42.506721
409.130859	-42.603352
419.897461	-42.278812
430.664062	-40.533939
441.430664	-38.255028
452.197266	-38.271259
462.963867	-40.378372
473.730469	-42.503410
484.497070	-43.875732
495.263672	-45.283924
506.030273	-45.837196
516.796875	-46.401428
527.563477	-46.634674
538.330078	-47.313507
549.096680	-48.045925
559.863281	-48.154457
570.629883	-48.491806
581.396484	-48.880535
592.163086	-48.740379
602.929688	-48.554493
613.696289	-48.385620
624.462891	-47.339405
635.229492	-45.985912
645.996094	-43.724083
656.762695	-41.248348
667.529297	-39.171875
678.295898	-39.337124
689.062500	-42.151058
699.829102	-44.908195
710.595703	-46.760342
721.362305	-48.427715
732.128906	-49.722160
742.895508	-50.481041
753.662109	-50.966526
764.428711	-51.224831
775.195312	-51.528919
785.961914	-51.713329
796.728516	-51.518867
807.495117	-51.071320
818.261719	-50.430019
829.028320	-49.743931
839.794922	-49.148327
850.561523	-47.246475
861.328125	-44.477291
872.094727	-41.679295
882.861328	-38.002365
893.627930	-36.525646
904.394531	-38.197178
915.161133	-41.249084
925.927734	-42.874371
936.694336	-44.288464
947.460938	-45.955082
958.227539	-47.037823
968.994141	-48.385933
979.760742	-49.576756
990.527344	-50.529850
1001.293945	-51.576332
1012.060547	-51.295410
1022.827148	-50.645519
1033.593750	-50.167641
1044.360352	-49.334026
1055.126953	-48.421356
1065.893555	-46.737316
1076.660156	-44.986897
1087.426758	-42.602760
1098.193359	-39.196537
1108.959961	-36.189812
1119.726562	-36.184406
1130.493164	-38.948929
1141.259766	-42.085804
1152.026367	-44.824055
1162.792969	-47.074097
1173.559570	-48.370579
1184.326172	-49.106853
1195.092773	-49.595581
1205.859375	-50.164051
1216.625977	-50.723740
1227.392578	-50.381618
1238.159180	-49.868504
1248.925781	-49.619717
1259.692383	-48.980042
1270.458984	-48.323086
1281.225586	-46.994564
1291.992188	-45.791569
1302.758789	-43.750462
1313.525391	-40.987564
1324.291992	-37.740173
1335.058594	-35.277054
1345.825195	-35.636890
1356.591797	-38.526836
1367.358398	-41.615589
1378.125000	-43.947426
1388.891602	-45.943897
1399.658203	-46.965740
1410.424805	-47.581627
1421.191406	-47.811127
1431.958008	-48.337532
1442.724609	-48.930893
1453.491211	-49.099598
1464.257812	-48.345203
1475.024414	-47.819344
1485.791016	-47.301201
1496.557617	-46.257507
1507.324219	-45.054119
1518.090820	-43.391792
1528.857422	-40.772533
1539.624023	-37.741768
1550.390625	-34.924980
1561.157227	-33.289227
1571.923828	-34.666191
1582.690430	-37.595215
1593.457031	-40.246460
1604.223633	-42.244202
1614.990234	-43.946358
1625.756836	-45.283424
1636.523438	-46.133663
1647.290039	-46.361229
1658.056641	-46.643700
1668.823242	-46.376373
1679.589844	-46.424881
1690.356445	-45.929668
1701.123047	-45.696011
1711.889648	-44.937061
1722.656250	-43.730892
1733.422852	-42.010685
1744.189453	-40.152340
1754.956055	-37.362804
1765.722656	-34.093754
1776.489258	-31.235302
1787.255859	-30.871838
1798.022461	-33.035789
1808.789062	-36.027439
1819.555664	-38.812271
1830.322266	-40.346428
1841.088867	-42.106335
1851.855469	-43.340332
1862.622070	-43.622158
1873.388672	-43.852818
1884.155273	-44.151943
1894.921875	-43.850746
1905.688477	-43.216122
1916.455078	-43.756413
1927.221680	-43.162941
1937.988281	-41.934372
1948.754883	-40.497410
1959.521484	-38.621170
1970.288086	-36.561001
1981.054688	-33.420021
1991.821289	-30.459061
2002.587891	-28.679489
2013.354492	-29.581879
2024.121094	-31.968569
2034.887695	-34.603924
2045.654297	-36.940624
2056.420898	-39.031174
2067.187500	-40.041054
2077.954102	-41.032436
2088.720703	-41.973431
2099.487305	-42.149742
2110.253906	-41.936047
2121.020508	-41.711273
2131.787109	-41.534317
2142.553711	-40.439552
2153.320312	-39.612511
2164.086914	-38.810192
2174.853516	-37.753448
2185.620117	-35.981121
2196.386719	-33.712040
2207.153320	-31.230906
2217.919922	-28.290327
2228.686523	-27.110909
2239.453125	-28.505362
2250.219727	-31.202126
2260.986328	-33.327015
2271.752930	-35.704075
2282.519531	-37.479343
2293.286133	-38.352608
2304.052734	-38.712952
2314.819336	-38.995766
2325.585938	-39.082272
2336.352539	-39.374237
2347.119141	-39.145000
2357.885742	-38.610165
2368.652344	-38.338703
2379.418945	-37.599380
2390.185547	-35.945778
2400.952148	-34.279125
2411.718750	-33.089390
2422.485352	-30.784389
2433.251953	-28.140224
2444.018555	-26.152700
2454.785156	-25.583057
2465.551758	-27.155621
2476.318359	-29.884851
2487.084961	-32.225086
2497.851562	-33.900703
2508.618164	-34.814613
2519.384766	-35.951771
2530.151367	-36.636772
2540.917969	-37.083225
2551.684570	-37.056496
2562.451172	-37.141994
2573.217773	-37.364578
2583.984375	-37.194527
2594.750977	-36.362686
2605.517578	-34.905285
2616.284180	-33.450459
2627.050781	-32.248772
2637.817383	-30.603409
2648.583984	-28.020184
2659.350586	-25.917988
2670.117188	-24.614277
2680.883789	-24.530502
2691.650391	-26.626907
2702.416992	-28.772799
2713.183594	-30.754587
2723.950195	-32.664524
2734.716797	-33.782333
2745.483398	-33.784138
2756.250000	-34.270233
2767.016602	-34.712479
2777.783203	-34.863770
2788.549805	-34.789581
2799.316406	-34.540249
2810.083008	-34.022980
2820.849609	-33.588982
2831.616211	-32.611115
2842.382812	-31.528164
2853.149414	-29.513462
2863.916016	-27.332439
2874.682617	-25.353918
2885.449219	-23.758791
2896.215820	-23.046316
2906.982422	-24.344103
2917.749023	-26.261917
2928.515625	-27.930826
2939.282227	-29.128807
2950.048828	-30.704687
2960.815430	-31.628464
2971.582031	-32.694611
2982.348633	-32.961559
2993.115234	-33.699978
3003.881836	-33.574230
3014.648438	-33.188492
3025.415039	-32.867783
3036.181641	-32.507786
3046.948242	-31.354418
3057.714844	-30.692543
3068.481445	-30.209280
3079.248047	-28.392815
3090.014648	-26.793985
3100.781250	-24.468594
3111.547852	-23.093136
3122.314453	-22.776632
3133.081055	-24.131330
3143.847656	-26.160643
3154.614258	-28.047840
3165.380859	-29.328238
3176.147461	-30.747746
3186.914062	-31.776800
3197.680664	-32.133858
3208.447266	-32.272984
3219.213867	-32.752178
3229.980469	-32.489342
3240.747070	-32.381912
3251.513672	-32.410595
3262.280273	-32.207619
3273.046875	-31.290279
3283.813477	-30.330446
3294.580078	-29.297613
3305.346680	-27.840755
3316.113281	-25.677767
3326.879883	-24.077412
3337.646484	-23.087017
3348.413086	-23.238066
3359.179688	-24.547792
3369.946289	-26.222118
3380.712891	-28.056215
3391.479492	-29.385313
3402.246094	-30.849401
3413.012695	-31.809132
3423.779297	-32.466095
3434.545898	-32.826618
3445.312500	-32.965725
3456.079102	-33.345341
3466.845703	-32.878590
3477.612305	-32.333775
3488.378906	-32.367668
3499.145508	-31.874998
3509.912109	-30.715677
3520.678711	-29.140966
3531.445312	-27.802437
3542.211914	-26.113535
3552.978516	-24.243385
3563.745117	-23.620913
3574.511719	-24.200247
3585.278320	-25.849195
3596.044922	-27.815327
3606.811523	-29.449129
3617.578125	-30.717922
3628.344727	-31.633217
3639.111328	-32.373577
3649.877930	-32.495708
3660.644531	-33.149288
3671.411133	-33.365372
3682.177734	-33.637405
3692.944336	-33.637653
3703.710938	-32.959610
3714.477539	-32.314434
3725.244141	-31.474579
3736.010742	-30.211443
3746.777344	-28.776037
3757.543945	-27.362492
3768.310547	-25.652470
3779.077148	-24.808250
3789.843750	-24.586315
3800.610352	-25.450748
3811.376953	-27.057890
3822.143555	-28.737875
3832.910156	-30.237528
3843.676758	-31.706280
3854.443359	-32.722641
3865.209961	-33.134201
3875.976562	-33.649479
3886.743164	-33.595699
3897.509766	-33.555336
3908.276367	-33.765472
3919.042969	-33.111427
3929.809570	-32.598995
3940.576172	-31.880676
3951.342773	-30.791985
3962.109375	-29.237232
3972.875977	-28.471926
3983.642578	-26.718292
3994.409180	-25.840042
4005.175781	-25.473703
4015.942383	-25.863564
4026.708984	-26.845694
4037.475586	-28.454870
4048.242188	-30.170992
4059.008789	-31.046190
4069.775391	-32.124142
4080.541992	-32.402111
4091.308594	-32.591103
4102.075195	-32.958248
4112.841797	-33.719906
4123.608398	-33.554771
4134.375000	-33.547745
4145.141602	-32.795815
4155.908203	-32.103298
4166.674805	-30.925280
4177.441406	-30.163387
4188.208008	-29.138727
4198.974609	-27.945190
4209.741211	-26.807390
4220.507812	-25.972980
4231.274414	-26.313166
4242.041016	-27.398182
4252.807617	-28.510687
4263.574219	-29.398579
4274.340820	-31.009253
4285.107422	-31.946569
4295.874023	-32.604755
4306.640625	-33.111851
4317.407227	-33.356869
4328.173828	-33.915730
4338.940430	-33.870964
4349.707031	-33.980011
4360.473633	-33.850872
4371.240234	-33.463871
4382.006836	-33.371605
4392.773438	-32.502975
4403.540039	-31.360079
4414.306641	-30.341494
4425.073242	-29.568867
4435.839844	-28.747606
4446.606445	-28.540821
4457.373047	-28.939217
4468.139648	-29.839518
4478.906250	-31.209511
4489.672852	-32.339622
4500.439453	-33.287449
4511.206055	-34.646896
4521.972656	-35.480850
4532.739258	-36.048374
4543.505859	-36.061314
4554.272461	-36.403324
4565.039062	-36.597805
4575.805664	-36.779049
4586.572266	-36.803200
4597.338867	-36.452179
