Frequency (Hz)	Level (dB)
10.766602	-38.855221
21.533203	-32.651577
32.299805	-29.738092
43.066406	-29.833534
53.833008	-31.803885
64.599609	-33.775295
75.366211	-36.121120
86.132812	-38.560318
96.899414	-40.790257
107.666016	-42.420105
118.432617	-43.692745
129.199219	-44.792336
139.965820	-46.774570
150.732422	-48.651787
161.499023	-49.942341
172.265625	-50.961533
183.032227	-52.464031
193.798828	-53.785069
204.565430	-54.624317
215.332031	-55.981682
226.098633	-56.926414
236.865234	-57.782055
247.631836	-58.670986
258.398438	-59.322315
269.165039	-60.453831
279.931641	-61.240112
290.698242	-61.923035
301.464844	-62.907101
312.231445	-63.411427
322.998047	-63.784386
333.764648	-64.278748
344.531250	-64.975327
355.297852	-66.005249
366.064453	-66.751381
376.831055	-66.882950
387.597656	-67.142761
398.364258	-67.453369
409.130859	-67.042557
419.897461	-67.141937
430.664062	-67.011681
441.430664	-66.555435
452.197266	-66.496033
462.963867	-66.200867
473.730469	-65.681320
484.497070	-65.334305
495.263672	-64.818352
506.030273	-64.364426
516.796875	-64.047554
527.563477	-63.528538
538.330078	-63.107430
549.096680	-62.250053
559.863281	-61.985161
570.629883	-62.115143
581.396484	-62.083328
592.163086	-61.621651
602.929688	-61.332249
613.696289	-60.896580
624.462891	-60.604477
635.229492	-60.051334
645.996094	-59.177162
656.762695	-58.947010
667.529297	-58.960655
678.295898	-57.818851
689.062500	-57.305897
699.829102	-56.881996
710.595703	-56.375664
721.362305	-55.664608
732.128906	-54.851238
742.895508	-54.035503
753.662109	-53.015594
764.428711	-51.521782
775.195312	-50.337147
785.961914	-48.952114
796.728516	-47.549881
807.495117	-46.040707
818.261719	-45.405308
829.028320	-45.673744
839.794922	-46.258869
850.561523	-47.181057
861.328125	-48.068375
872.094727	-49.813984
882.861328	-51.258209
893.627930	-52.325508
904.394531	-53.475170
915.161133	-54.290203
925.927734	-54.889217
936.694336	-55.485432
947.460938	-56.559216
958.227539	-57.081207
968.994141	-57.814938
979.760742	-57.877003
990.527344	-58.806061
1001.293945	-59.428604
1012.060547	-59.709129
1022.827148	-59.890968
1033.593750	-60.578232
1044.360352	-60.946735
1055.126953	-60.906471
1065.893555	-60.945335
1076.660156	-61.043797
