Frequency (Hz)	Level (dB)
10.766602	-72.477409
21.533203	-64.650032
32.299805	-59.448761
43.066406	-56.026691
53.833008	-54.492886
64.599609	-53.890865
75.366211	-53.211514
86.132812	-52.977154
96.899414	-52.765350
107.666016	-52.389416
118.432617	-52.557682
129.199219	-52.769493
139.965820	-52.908176
150.732422	-53.239433
161.499023	-53.259781
172.265625	-53.101856
183.032227	-53.275703
193.798828	-53.737068
204.565430	-54.115952
215.332031	-54.564358
226.098633	-54.197636
236.865234	-53.775036
247.631836	-52.885647
258.398438	-52.366928
269.165039	-51.901325
279.931641	-50.786919
290.698242	-49.330902
301.464844	-47.372578
312.231445	-45.556492
322.998047	-44.624714
333.764648	-43.757473
344.531250	-43.429123
355.297852	-44.445660
366.064453	-45.974339
376.831055	-48.059929
387.597656	-50.200726
398.364258	-51.832077
409.130859	-52.742603
419.897461	-53.994831
430.664062	-54.630840
441.430664	-54.908386
452.197266	-55.590248
462.963867	-56.179893
473.730469	-56.473701
484.497070	-56.889713
495.263672	-56.664440
506.030273	-56.712246
516.796875	-56.607185
527.563477	-56.249516
538.330078	-56.223358
549.096680	-55.383247
559.863281	-54.967052
570.629883	-54.426350
581.396484	-53.707798
592.163086	-53.149666
602.929688	-51.726101
613.696289	-50.036880
624.462891	-48.302673
635.229492	-46.291355
645.996094	-44.724026
656.762695	-44.320263
667.529297	-44.198711
678.295898	-43.617779
689.062500	-43.714897
699.829102	-43.868576
710.595703	-45.274315
721.362305	-47.070854
732.128906	-48.915180
742.895508	-50.543629
753.662109	-52.084728
764.428711	-52.908447
775.195312	-53.538330
785.961914	-54.014275
796.728516	-54.546185
807.495117	-54.823742
818.261719	-54.856609
829.028320	-55.167919
839.794922	-55.526489
850.561523	-55.094395
861.328125	-54.517796
872.094727	-54.911968
882.861328	-54.458126
893.627930	-53.505482
904.394531	-52.777393
915.161133	-51.898735
925.927734	-50.162632
936.694336	-48.508286
947.460938	-47.223553
958.227539	-45.957714
968.994141	-45.035789
979.760742	-44.071304
990.527344	-44.266792
1001.293945	-44.360947
1012.060547	-43.703861
1022.827148	-43.047253
1033.593750	-43.032555
