Frequency (Hz)	Level (dB)
10.766602	-58.467453
21.533203	-50.645229
32.299805	-46.448612
43.066406	-44.213734
53.833008	-42.665588
64.599609	-42.234283
75.366211	-41.900543
86.132812	-40.729904
96.899414	-40.126362
107.666016	-40.177559
118.432617	-39.144882
129.199219	-38.194920
139.965820	-37.403194
150.732422	-36.650455
161.499023	-36.361961
172.265625	-35.876873
183.032227	-35.616264
193.798828	-35.689514
204.565430	-35.415390
215.332031	-35.383038
226.098633	-35.791004
236.865234	-35.845741
247.631836	-35.385010
258.398438	-35.460514
269.165039	-35.717030
279.931641	-35.098122
290.698242	-34.870010
301.464844	-35.827858
312.231445	-37.046852
322.998047	-37.636681
333.764648	-38.140400
344.531250	-38.383125
355.297852	-38.519199
366.064453	-38.991676
376.831055	-39.258316
387.597656	-39.583694
398.364258	-40.049789
409.130859	-40.210972
419.897461	-40.199043
430.664062	-40.223537
441.430664	-40.414593
452.197266	-40.923859
462.963867	-41.423302
473.730469	-41.672935
484.497070	-41.946842
495.263672	-42.386387
506.030273	-42.489639
516.796875	-42.663921
527.563477	-42.098034
538.330078	-42.163361
549.096680	-42.004776
559.863281	-40.964970
570.629883	-38.757278
581.396484	-37.977257
592.163086	-38.661514
602.929688	-40.421291
613.696289	-42.193554
624.462891	-42.790829
635.229492	-43.532795
645.996094	-44.296585
656.762695	-44.925606
667.529297	-45.638165
678.295898	-46.268520
689.062500	-46.598537
699.829102	-47.053539
710.595703	-47.650429
721.362305	-48.326099
732.128906	-48.659241
742.895508	-48.700825
753.662109	-48.928860
764.428711	-49.166180
775.195312	-49.117558
785.961914	-48.961071
796.728516	-48.725689
807.495117	-48.214973
818.261719	-47.506584
829.028320	-46.266869
839.794922	-45.374321
850.561523	-43.132637
861.328125	-40.646027
872.094727	-39.286827
882.861328	-40.188995
893.627930	-42.268803
904.394531	-44.794468
915.161133	-47.022068
925.927734	-48.532223
936.694336	-49.394474
947.460938	-50.416496
958.227539	-51.359459
968.994141	-51.939209
979.760742	-52.119129
990.527344	-52.751549
1001.293945	-52.866497
1012.060547	-52.932404
1022.827148	-53.053391
1033.593750	-53.468792
1044.360352	-53.142326
1055.126953	-52.866867
1065.893555	-52.303886
1076.660156	-51.605309
1087.426758	-51.023693
1098.193359	-49.959129
1108.959961	-48.818275
1119.726562	-47.386444
1130.493164	-44.772785
1141.259766	-41.772030
1152.026367	-38.985657
1162.792969	-37.637665
1173.559570	-37.839043
1184.326172	-39.480362
1195.092773	-41.750877
1205.859375	-43.288219
1216.625977	-44.810406
1227.392578	-46.430038
1238.159180	-47.616455
1248.925781	-48.776955
1259.692383	-50.166779
1270.458984	-51.404613
1281.225586	-52.072613
1291.992188	-52.481407
1302.758789	-52.741730
1313.525391	-52.940014
1324.291992	-52.812702
1335.058594	-52.854942
1345.825195	-52.647991
1356.591797	-52.165104
1367.358398	-51.706779
1378.125000	-50.788010
1388.891602	-49.777416
1399.658203	-48.304218
1410.424805	-46.615910
1421.191406	-44.293404
1431.958008	-41.756779
1442.724609	-39.241817
1453.491211	-37.472763
1464.257812	-37.293888
1475.024414	-39.891705
1485.791016	-42.747009
1496.557617	-45.097481
1507.324219	-46.786160
1518.090820	-47.896233
1528.857422	-48.574970
1539.624023	-49.468594
1550.390625	-50.209305
1561.157227	-50.868732
1571.923828	-51.239723
1582.690430	-51.087353
1593.457031	-51.280846
1604.223633	-51.098274
1614.990234	-51.448658
1625.756836	-51.416939
1636.523438	-50.998833
1647.290039	-50.148262
1658.056641	-49.494690
1668.823242	-48.479061
1679.589844	-47.710861
1690.356445	-46.391438
1701.123047	-45.226372
1711.889648	-43.179604
1722.656250	-40.401905
1733.422852	-37.843735
1744.189453	-35.865341
1754.956055	-35.861130
1765.722656	-37.797894
1776.489258	-40.313354
1787.255859	-42.534836
1798.022461	-44.014442
1808.789062	-45.214348
1819.555664	-46.401714
1830.322266	-47.178356
1841.088867	-48.509045
1851.855469	-49.210415
1862.622070	-49.260902
1873.388672	-49.330242
1884.155273	-49.540260
1894.921875	-49.425961
1905.688477	-48.996441
1916.455078	-49.320545
1927.221680	-48.928421
1937.988281	-48.068222
1948.754883	-47.199455
1959.521484	-46.192356
1970.288086	-45.077320
1981.054688	-43.455284
1991.821289	-42.055126
2002.587891	-40.620274
2013.354492	-38.420986
2024.121094	-35.439541
2034.887695	-33.225121
2045.654297	-33.148014
2056.420898	-35.310749
2067.187500	-38.183392
2077.954102	-40.401634
2088.720703	-42.379887
2099.487305	-43.628391
2110.253906	-44.504250
2121.020508	-45.112938
2131.787109	-45.622246
2142.553711	-45.743565
2153.320312	-46.176334
