Frequency (Hz)	Level (dB)
10.766602	-58.469311
21.533203	-61.697903
32.299805	-58.758785
43.066406	-56.124245
53.833008	-53.874203
64.599609	-52.434143
75.366211	-51.695240
86.132812	-51.008907
96.899414	-51.410355
107.666016	-50.979420
118.432617	-49.760757
129.199219	-49.346954
139.965820	-47.835819
150.732422	-45.763916
161.499023	-45.029312
172.265625	-45.514717
183.032227	-47.615131
193.798828	-49.911701
204.565430	-51.783234
215.332031	-52.704258
226.098633	-52.660126
236.865234	-52.722393
247.631836	-52.543472
258.398438	-52.469910
269.165039	-51.861130
279.931641	-50.263115
290.698242	-48.624825
301.464844	-46.067760
312.231445	-43.745041
322.998047	-42.857170
333.764648	-43.345341
344.531250	-45.069435
355.297852	-48.026936
366.064453	-50.250729
376.831055	-51.346832
387.597656	-51.757740
398.364258	-52.160454
409.130859	-51.515976
419.897461	-51.160782
430.664062	-50.274990
441.430664	-48.237530
452.197266	-45.252644
462.963867	-42.851643
473.730469	-42.019875
484.497070	-42.039581
495.263672	-42.355854
506.030273	-43.208309
516.796875	-45.176826
527.563477	-48.028999
538.330078	-50.165161
549.096680	-50.369888
559.863281	-50.393394
570.629883	-50.420116
581.396484	-50.511379
592.163086	-48.959538
602.929688	-45.853214
613.696289	-43.186619
624.462891	-42.116608
635.229492	-41.331566
645.996094	-41.147285
656.762695	-41.855282
667.529297	-42.301834
678.295898	-42.950699
689.062500	-45.623920
699.829102	-48.166542
710.595703	-49.185402
721.362305	-49.630646
732.128906	-49.425037
742.895508	-48.436581
753.662109	-46.155533
764.428711	-43.260052
775.195312	-41.111721
785.961914	-40.342262
796.728516	-40.415138
807.495117	-40.555492
818.261719	-40.664726
829.028320	-40.969883
839.794922	-42.333782
850.561523	-43.357990
861.328125	-45.433380
872.094727	-47.631546
882.861328	-48.473282
893.627930	-47.841789
904.394531	-46.310825
915.161133	-43.086327
925.927734	-41.034451
936.694336	-39.560600
947.460938	-39.915195
958.227539	-40.437050
968.994141	-40.308189
979.760742	-39.776497
990.527344	-40.662590
1001.293945	-41.388786
1012.060547	-41.725410
1022.827148	-43.188400
1033.593750	-45.206417
1044.360352	-45.950283
1055.126953	-44.818497
1065.893555	-41.833160
1076.660156	-39.348373
1087.426758	-38.833813
1098.193359	-38.609241
1108.959961	-39.158279
1119.726562	-39.587032
1130.493164	-39.843967
1141.259766	-39.779751
1152.026367	-40.070011
1162.792969	-41.004139
1173.559570	-41.540356
1184.326172	-41.566948
1195.092773	-43.404842
1205.859375	-44.436241
1216.625977	-42.638962
1227.392578	-40.001644
1238.159180	-39.031479
1248.925781	-38.827930
1259.692383	-38.649750
1270.458984	-38.405418
1281.225586	-38.662296
1291.992188	-39.723663
1302.758789	-39.324211
1313.525391	-39.152958
1324.291992	-39.163513
1335.058594	-40.421619
1345.825195	-40.746189
1356.591797	-40.158672
1367.358398	-39.476540
1378.125000	-38.289680
1388.891602	-38.328056
1399.658203	-38.156784
1410.424805	-37.535828
1421.191406	-37.115608
1431.958008	-37.665844
1442.724609	-38.668430
1453.491211	-39.090839
1464.257812	-37.393673
1475.024414	-37.729229
1485.791016	-38.097233
1496.557617	-38.197758
1507.324219	-37.768032
1518.090820	-37.221249
1528.857422	-35.631393
1539.624023	-35.572826
1550.390625	-35.792461
1561.157227	-35.757870
1571.923828	-36.340729
1582.690430	-36.439266
1593.457031	-35.585316
1604.223633	-35.798580
1614.990234	-36.596245
1625.756836	-36.363850
1636.523438	-36.311665
1647.290039	-36.451038
1658.056641	-36.343029
1668.823242	-35.587681
1679.589844	-34.314854
1690.356445	-33.560795
1701.123047	-33.623081
1711.889648	-34.352249
1722.656250	-34.301498
1733.422852	-33.923298
1744.189453	-34.287876
1754.956055	-34.214775
1765.722656	-34.661327
1776.489258	-34.634804
1787.255859	-34.938927
1798.022461	-34.809002
1808.789062	-34.379456
1819.555664	-34.032860
1830.322266	-32.451508
1841.088867	-31.720070
1851.855469	-31.331182
1862.622070	-31.605476
1873.388672	-31.742270
1884.155273	-32.234688
1894.921875	-32.387276
1905.688477	-32.015957
1916.455078	-33.064327
1927.221680	-33.217609
1937.988281	-33.108936
1948.754883	-32.988686
1959.521484	-33.268444
1970.288086	-32.192154
1981.054688	-30.047831
1991.821289	-29.471790
2002.587891	-29.985058
2013.354492	-30.192959
2024.121094	-29.810900
2034.887695	-29.872854
2045.654297	-30.523674
2056.420898	-31.743586
2067.187500	-32.060398
2077.954102	-32.079445
2088.720703	-32.416485
2099.487305	-32.537239
2110.253906	-32.115093
2121.020508	-31.531958
2131.787109	-30.233595
2142.553711	-29.144663
2153.320312	-28.333067
2164.086914	-28.418737
2174.853516	-28.651646
2185.620117	-29.204668
2196.386719	-28.974991
2207.153320	-29.587614
2217.919922	-30.279137
2228.686523	-30.211523
2239.453125	-30.358515
2250.219727	-30.863037
2260.986328	-30.630630
2271.752930	-30.410110
2282.519531	-29.531172
2293.286133	-28.897827
2304.052734	-27.982458
2314.819336	-27.618620
2325.585938	-27.565659
2336.352539	-27.880713
2347.119141	-27.633373
2357.885742	-27.727867
2368.652344	-27.763538
2379.418945	-28.596819
2390.185547	-28.374201
2400.952148	-28.920593
2411.718750	-29.397341
2422.485352	-29.073223
2433.251953	-28.096014
2444.018555	-27.491823
2454.785156	-26.493399
2465.551758	-26.397364
2476.318359	-26.250931
2487.084961	-26.423388
2497.851562	-26.678284
2508.618164	-26.270931
2519.384766	-26.640686
2530.151367	-26.956356
2540.917969	-26.818989
2551.684570	-27.005602
2562.451172	-27.841637
2573.217773	-28.211161
2583.984375	-27.679453
2594.750977	-27.053120
2605.517578	-26.408028
2616.284180	-25.784876
2627.050781	-26.365381
2637.817383	-26.654112
2648.583984	-26.670614
2659.350586	-26.953218
2670.117188	-26.850304
2680.883789	-26.296930
2691.650391	-26.307716
2702.416992	-26.046675
2713.183594	-27.081987
2723.950195	-27.951904
2734.716797	-27.403713
2745.483398	-26.773310
2756.250000	-26.358587
2767.016602	-25.872181
2777.783203	-25.493896
2788.549805	-25.717760
2799.316406	-26.099794
2810.083008	-26.383541
2820.849609	-26.390928
2831.616211	-26.660021
2842.382812	-26.810970
2853.149414	-26.486666
2863.916016	-25.831364
2874.682617	-26.302298
2885.449219	-26.563850
2896.215820	-26.431931
2906.982422	-25.994436
2917.749023	-25.516834
2928.515625	-25.503569
2939.282227	-25.408012
2950.048828	-25.885443
2960.815430	-26.021477
2971.582031	-26.131407
2982.348633	-26.130312
2993.115234	-26.698952
3003.881836	-26.516243
3014.648438	-26.428646
3025.415039	-26.317045
3036.181641	-26.062996
3046.948242	-25.545979
3057.714844	-25.862825
3068.481445	-26.716646
3079.248047	-26.296404
3090.014648	-26.439749
3100.781250	-25.826777
3111.547852	-25.758465
3122.314453	-25.612616
3133.081055	-25.919933
3143.847656	-25.838745
3154.614258	-25.997501
3165.380859	-26.417410
3176.147461	-26.448723
3186.914062	-26.252165
3197.680664	-25.956442
3208.447266	-25.214960
3219.213867	-25.436884
3229.980469	-24.969158
3240.747070	-24.670715
3251.513672	-25.891783
3262.280273	-25.849985
3273.046875	-26.116407
3283.813477	-26.233990
3294.580078	-26.242983
3305.346680	-26.179752
3316.113281	-25.783779
3326.879883	-25.969463
3337.646484	-26.210386
3348.413086	-25.908327
3359.179688	-25.187611
3369.946289	-24.613483
3380.712891	-24.547724
3391.479492	-25.165369
3402.246094	-25.871336
3413.012695	-25.622934
3423.779297	-25.842190
3434.545898	-25.524538
3445.312500	-26.006495
3456.079102	-26.441311
3466.845703	-26.587774
3477.612305	-25.966366
3488.378906	-26.043381
3499.145508	-25.925207
3509.912109	-26.006836
3520.678711	-25.555447
3531.445312	-25.135420
3542.211914	-25.070524
3552.978516	-24.792620
3563.745117	-24.788832
3574.511719	-25.244493
3585.278320	-25.489307
3596.044922	-25.856989
3606.811523	-25.996269
3617.578125	-25.337870
3628.344727	-25.561810
3639.111328	-25.604980
3649.877930	-25.383450
3660.644531	-24.898781
3671.411133	-24.807468
3682.177734	-25.245331
3692.944336	-24.958271
3703.710938	-24.815821
3714.477539	-24.698957
3725.244141	-24.653681
3736.010742	-24.763306
3746.777344	-25.061874
3757.543945	-25.290821
3768.310547	-25.323547
3779.077148	-25.768673
3789.843750	-25.704472
3800.610352	-25.107700
3811.376953	-24.835518
3822.143555	-24.491379
3832.910156	-24.050316
3843.676758	-23.949652
3854.443359	-23.928711
3865.209961	-23.584961
3875.976562	-23.779730
3886.743164	-23.477329
3897.509766	-23.759315
3908.276367	-24.449131
3919.042969	-24.363161
3929.809570	-24.546957
3940.576172	-24.550125
3951.342773	-24.456839
3962.109375	-23.652256
3972.875977	-23.443630
3983.642578	-22.644930
3994.409180	-23.183479
4005.175781	-22.999403
4015.942383	-22.661066
4026.708984	-22.982660
4037.475586	-23.299137
4048.242188	-23.457605
4059.008789	-23.207253
4069.775391	-23.147955
4080.541992	-23.219543
4091.308594	-22.808702
4102.075195	-22.603384
4112.841797	-22.556110
4123.608398	-22.643654
4134.375000	-23.056131
4145.141602	-22.972868
4155.908203	-22.580912
4166.674805	-22.359341
4177.441406	-22.199495
4188.208008	-22.132380
4198.974609	-22.219078
4209.741211	-22.119715
4220.507812	-22.055023
4231.274414	-22.597776
4242.041016	-22.829857
4252.807617	-22.751596
4263.574219	-22.229532
4274.340820	-22.566418
4285.107422	-23.050789
4295.874023	-22.537010
4306.640625	-22.371010
4317.407227	-22.288404
4328.173828	-22.411655
4338.940430	-22.086609
4349.707031	-22.785389
4360.473633	-23.375099
4371.240234	-23.234438
4382.006836	-23.847765
4392.773438	-23.881474
4403.540039	-23.782238
4414.306641	-24.201256
4425.073242	-24.358290
4435.839844	-23.995993
4446.606445	-23.859447
4457.373047	-23.612429
4468.139648	-24.072273
4478.906250	-24.363377
4489.672852	-24.487787
4500.439453	-24.765434
4511.206055	-25.219759
4521.972656	-25.290403
4532.739258	-25.373091
4543.505859	-25.509811
4554.272461	-26.258657
4565.039062	-26.585495
4575.805664	-26.580276
4586.572266	-26.749727
4597.338867	-27.145468
4608.105469	-27.211744
4618.872070	-27.314014
4629.638672	-28.046946
4640.405273	-28.255810
4651.171875	-28.789886
4661.938477	-29.459791
4672.705078	-29.873629
4683.471680	-30.097397
4694.238281	-30.557472
4705.004883	-31.035112
4715.771484	-31.623112
4726.538086	-32.187866
4737.304688	-32.168526
4748.071289	-33.135147
4758.837891	-33.422817
4769.604492	-33.387150
4780.371094	-34.535183
4791.137695	-34.896427
4801.904297	-35.470871
4812.670898	-36.398438
4823.437500	-37.029568
4834.204102	-37.442387
4844.970703	-38.157162
4855.737305	-38.880928
4866.503906	-39.902241
4877.270508	-40.860729
4888.037109	-41.068398
4898.803711	-41.525490
4909.570312	-41.879780
4920.336914	-42.997597
4931.103516	-43.354778
4941.870117	-43.315495
4952.636719	-43.754204
4963.403320	-44.301579
4974.169922	-45.295208
4984.936523	-46.078571
4995.703125	-46.286026
5006.469727	-46.825584
5017.236328	-47.652229
5028.002930	-47.641151
5038.769531	-48.198757
5049.536133	-47.970253
5060.302734	-48.201576
5071.069336	-48.328098
5081.835938	-48.541325
5092.602539	-48.736298
5103.369141	-48.910389
