Time    Temp 
====================
  0.00      24.400
  1.00      24.399
  2.00      24.401
  3.00      24.401
  4.00      24.402
  5.00      24.404
  5.25      24.417
  5.50      24.614
  5.75      24.917
  6.00      25.241
  6.25      25.543
  6.50      25.808
  6.75      26.030
  7.00      26.210
  7.25      26.359
  7.50      26.474
  7.75      26.567
  8.00      26.641
  9.00      26.806
 10.00      26.863
 11.00      26.863
 12.00      26.863
 13.00      26.858
 14.00      26.854
 15.00      26.852
 16.00      26.850
 17.00      26.846
 18.00      26.842
